Byte pair, Frequency
(114, 290), -> [17]
(290, 101), -> [15]
(101, 117), -> [19]
(115, 104), -> [66]
(331, 97), -> [46]
(97, 118), -> [89]
(332, 102), -> [23]
(102, 108), -> [22]
(108, 117), -> [65]
(117, 290), -> [28]
(99, 260), -> [22]
(344, 353), -> [95]
(332, 100), -> [19]
(337, 111), -> [85]
(108, 265), -> [26]
(349, 117), -> [15]
(108, 335), -> [26]
(335, 307), -> [6]
(307, 115), -> [32]
(331, 256), -> [235]
(98, 106), -> [7]
(106, 310), -> [15]
(32, 273), -> [150]
(273, 100), -> [12]
(289, 112), -> [21]
(112, 333), -> [5]
(333, 97), -> [77]
(344, 260), -> [14]
(349, 351), -> [9]
(351, 256), -> [44]
(256, 97), -> [16]
(101, 103), -> [42]
(103, 266), -> [22]
(111, 102), -> [21]
(102, 289), -> [7]
(115, 338), -> [62]
(338, 269), -> [36]
(49, 52), -> [83]
(306, 298), -> [14]
(110, 260), -> [28]
(273, 116), -> [152]
(274, 310), -> [63]
(310, 258), -> [110]
(258, 100), -> [126]
(100, 115), -> [57]
(98, 310), -> [40]
(310, 288), -> [16]
(288, 101), -> [35]
(264, 263), -> [96]
(32, 333), -> [130]
(333, 347), -> [40]
(347, 336), -> [46]
(336, 260), -> [37]
(306, 105), -> [16]
(105, 120), -> [18]
(272, 117), -> [19]
(117, 100), -> [71]
(105, 111), -> [45]
(117, 110), -> [213]
(110, 100), -> [118]
(100, 256), -> [47]
(276, 309), -> [22]
(268, 109), -> [9]
(272, 265), -> [31]
(32, 110), -> [137]
(110, 101), -> [209]
(101, 120), -> [65]
(265, 108), -> [37]
(41, 44), -> [31]
(32, 101), -> [115]
(120, 112), -> [27]
(112, 296), -> [6]
(296, 260), -> [3]
(32, 335), -> [31]
(335, 115), -> [31]
(76, 351), -> [34]
(351, 101), -> [17]
(264, 116), -> [195]
(89, 309), -> [46]
(314, 101), -> [62]
(108, 262), -> [15]
(297, 101), -> [26]
(349, 287), -> [10]
(344, 97), -> [48]
(259, 272), -> [9]
(272, 333), -> [23]
(97, 109), -> [247]
(276, 97), -> [17]
(109, 101), -> [122]
(264, 112), -> [63]
(112, 101), -> [51]
(97, 107), -> [116]
(321, 111), -> [75]
(111, 119), -> [186]
(102, 353), -> [3]
(353, 260), -> [6]
(340, 104), -> [73]
(274, 260), -> [23]
(256, 105), -> [18]
(105, 109), -> [202]
(108, 310), -> [17]
(114, 262), -> [8]
(262, 307), -> [13]
(108, 291), -> [7]
(276, 101), -> [28]
(276, 105), -> [97]
(114, 272), -> [72]
(314, 342), -> [196]
(342, 98), -> [192]
(98, 111), -> [210]
(111, 341), -> [192]
(354, 111), -> [61]
(49, 48), -> [183]
(48, 48), -> [128]
(110, 117), -> [59]
(109, 286), -> [42]
(45, 262), -> [15]
(262, 101), -> [109]
(318, 101), -> [8]
(321, 101), -> [132]
(69, 118), -> [34]
(32, 71), -> [277]
(71, 283), -> [9]
(283, 116), -> [39]
(314, 97), -> [13]
(97, 99), -> [139]
(278, 111), -> [81]
(103, 283), -> [12]
(283, 104), -> [15]
(112, 265), -> [18]
(109, 97), -> [32]
(306, 121), -> [6]
(121, 110), -> [29]
(112, 111), -> [45]
(112, 112), -> [68]
(112, 258), -> [37]
(98, 121), -> [84]
(32, 285), -> [37]
(285, 265), -> [31]
(45, 116), -> [5]
(116, 111), -> [236]
(112, 295), -> [9]
(83, 104), -> [7]
(104, 97), -> [35]
(107, 101), -> [63]
(32, 73), -> [264]
(73, 116), -> [33]
(32, 79), -> [247]
(79, 102), -> [24]
(102, 102), -> [63]
(34, 44), -> [69]
(66, 108), -> [16]
(266, 107), -> [29]
(112, 97), -> [28]
(66, 97), -> [8]
(314, 108), -> [31]
(297, 260), -> [10]
(306, 99), -> [10]
(99, 114), -> [10]
(117, 116), -> [156]
(116, 259), -> [15]
(259, 121), -> [3]
(332, 115), -> [9]
(112, 105), -> [41]
(45, 104), -> [6]
(104, 111), -> [59]
(45, 259), -> [4]
(259, 102), -> [2]
(116, 287), -> [45]
(295, 347), -> [35]
(111, 107), -> [37]
(346, 104), -> [30]
(104, 287), -> [94]
(32, 89), -> [152]
(339, 111), -> [32]
(292, 10), -> [1]
