Byte pair, Frequency
(115, 296), -> [88]
(296, 108), -> [59]
(108, 310), -> [54]
(103, 115), -> [17]
(115, 118), -> [1]
(118, 105), -> [130]
(111, 115), -> [139]
(115, 112), -> [62]
(112, 278), -> [70]
(278, 102), -> [48]
(102, 291), -> [90]
(291, 109), -> [68]
(109, 270), -> [81]
(270, 99), -> [64]
(281, 108), -> [13]
(118, 310), -> [6]
(65, 312), -> [15]
(312, 116), -> [66]
(116, 263), -> [23]
(32, 282), -> [16]
(266, 40), -> [14]
(40, 98), -> [2]
(98, 114), -> [143]
(111, 267), -> [41]
(267, 278), -> [28]
(278, 41), -> [4]
(77, 271), -> [121]
(271, 106), -> [3]
(106, 322), -> [3]
(322, 256), -> [3]
(256, 70), -> [21]
(70, 263), -> [10]
(263, 108), -> [5]
(97, 273), -> [156]
(273, 40), -> [85]
(40, 103), -> [1]
(114, 270), -> [52]
(270, 100), -> [75]
(100, 109), -> [10]
(115, 9), -> [1]
(9, 70), -> [1]
(70, 117), -> [18]
(117, 301), -> [11]
(301, 32), -> [59]
(339, 10), -> [2]
(340, 292), -> [16]
(292, 99), -> [11]
(79, 265), -> [9]
(265, 324), -> [2]
(324, 9), -> [1]
(9, 78), -> [1]
(78, 97), -> [56]
(97, 115), -> [203]
(115, 104), -> [149]
(104, 118), -> [37]
(118, 343), -> [42]
(343, 101), -> [15]
(101, 257), -> [93]
(257, 84), -> [25]
(84, 290), -> [30]
(110, 310), -> [39]
(101, 101), -> [101]
(10, 71), -> [2]
(71, 290), -> [12]
(290, 114), -> [9]
(80, 111), -> [78]
(112, 32), -> [157]
(32, 99), -> [73]
(273, 102), -> [20]
(102, 111), -> [23]
(108, 107), -> [30]
(107, 32), -> [178]
(32, 114), -> [11]
(32, 274), -> [49]
(274, 116), -> [4]
(110, 97), -> [65]
(10, 73), -> [15]
(73, 110), -> [139]
(110, 339), -> [8]
(114, 353), -> [11]
(353, 290), -> [16]
(86, 111), -> [27]
(99, 274), -> [29]
(274, 262), -> [15]
(262, 103), -> [5]
(117, 105), -> [44]
(105, 116), -> [206]
(97, 260), -> [96]
(260, 98), -> [6]
(98, 270), -> [17]
(270, 106), -> [5]
(106, 111), -> [12]
(32, 112), -> [74]
(112, 105), -> [57]
(105, 270), -> [84]
(270, 111), -> [13]
(32, 117), -> [9]
(117, 107), -> [7]
(107, 117), -> [5]
(101, 108), -> [275]
(76, 97), -> [34]
(97, 98), -> [78]
(98, 101), -> [79]
(10, 82), -> [3]
(82, 67), -> [5]
(67, 65), -> [5]
(65, 32), -> [52]
(32, 281), -> [50]
(281, 112), -> [45]
(112, 117), -> [81]
(98, 108), -> [73]
(108, 340), -> [30]
(32, 66), -> [95]
(66, 105), -> [41]
(105, 103), -> [205]
(97, 284), -> [38]
(284, 263), -> [15]
(263, 101), -> [43]
(115, 105), -> [151]
(9, 119), -> [1]
(119, 119), -> [2]
(119, 46), -> [1]
(46, 116), -> [1]
(116, 299), -> [3]
(299, 291), -> [3]
(291, 115), -> [19]
(115, 280), -> [3]
(280, 116), -> [3]
(116, 46), -> [5]
(46, 99), -> [8]
(99, 286), -> [57]
(286, 32), -> [19]
(32, 69), -> [28]
(69, 100), -> [12]
(266, 267), -> [24]
(267, 105), -> [23]
(105, 262), -> [106]
(266, 87), -> [46]
(100, 347), -> [25]
(347, 97), -> [12]
(83, 105), -> [18]
(103, 110), -> [34]
(110, 347), -> [5]
(117, 320), -> [20]
(320, 10), -> [2]
(10, 309), -> [2]
(98, 291), -> [14]
(110, 32), -> [147]
(32, 68), -> [52]
(57, 41), -> [7]
(41, 32), -> [43]
(32, 105), -> [24]
(262, 270), -> [7]
(65, 109), -> [113]
(109, 101), -> [183]
(101, 265), -> [105]
(265, 99), -> [120]
(99, 270), -> [90]
(278, 259), -> [6]
(259, 72), -> [7]
(72, 272), -> [46]
(272, 118), -> [9]
(118, 278), -> [79]
(115, 97), -> [47]
(298, 108), -> [9]
(256, 271), -> [17]
(121, 257), -> [76]
(116, 296), -> [16]
(257, 319), -> [77]
(319, 290), -> [2]
(116, 320), -> [19]
(320, 112), -> [17]
(114, 290), -> [17]
(290, 101), -> [13]
(101, 117), -> [11]
(104, 97), -> [113]
(97, 118), -> [92]
(118, 256), -> [109]
(256, 263), -> [43]
(263, 102), -> [25]
(102, 108), -> [34]
(108, 117), -> [64]
(117, 290), -> [28]
(99, 268), -> [23]
(268, 275), -> [46]
(275, 109), -> [31]
(109, 312), -> [96]
(263, 100), -> [28]
(100, 312), -> [21]
(257, 112), -> [31]
(112, 111), -> [130]
(260, 99), -> [6]
(320, 257), -> [5]
(319, 112), -> [18]
(105, 298), -> [36]
(99, 115), -> [11]
(115, 257), -> [154]
(319, 104), -> [22]
(104, 272), -> [232]
(272, 108), -> [7]
(256, 105), -> [11]
(262, 338), -> [23]
(338, 115), -> [37]
(98, 106), -> [7]
(106, 342), -> [15]
(342, 266), -> [15]
(351, 277), -> [1]
(277, 100), -> [12]
(100, 310), -> [30]
(310, 112), -> [19]
(112, 320), -> [20]
(320, 97), -> [88]
(97, 258), -> [49]
(258, 109), -> [6]
(99, 346), -> [9]
(346, 278), -> [27]
(278, 97), -> [30]
(103, 101), -> [55]
(101, 294), -> [1]
(294, 282), -> [3]
(266, 98), -> [28]
(101, 103), -> [49]
(103, 270), -> [28]
(114, 323), -> [9]
(323, 310), -> [5]
(105, 264), -> [66]
(292, 115), -> [5]
(116, 325), -> [65]
(325, 97), -> [15]
(266, 49), -> [91]
(49, 52), -> [109]
(52, 32), -> [22]
(32, 319), -> [118]
(319, 115), -> [24]
(110, 268), -> [26]
(268, 277), -> [22]
(277, 267), -> [143]
(263, 256), -> [27]
(281, 99), -> [70]
(99, 291), -> [126]
(291, 100), -> [85]
(100, 262), -> [69]
(262, 263), -> [43]
(32, 261), -> [116]
(48, 53), -> [9]
(53, 32), -> [18]
(32, 352), -> [68]
(352, 98), -> [14]
(98, 342), -> [40]
(342, 286), -> [16]
(286, 256), -> [29]
(256, 338), -> [14]
(259, 83), -> [31]
(83, 331), -> [80]
(331, 320), -> [8]
(320, 108), -> [59]
(101, 97), -> [204]
(115, 268), -> [62]
(268, 115), -> [13]
(105, 120), -> [18]
(120, 32), -> [23]
(32, 339), -> [27]
(339, 117), -> [19]
(117, 100), -> [68]
(105, 111), -> [43]
(353, 262), -> [36]
(262, 117), -> [5]
(117, 110), -> [82]
(110, 100), -> [88]
(100, 272), -> [22]
(272, 275), -> [18]
(275, 108), -> [14]
(108, 257), -> [14]
(257, 102), -> [16]
(102, 321), -> [25]
(321, 260), -> [67]
(260, 351), -> [5]
(351, 267), -> [2]
(267, 293), -> [10]
(293, 32), -> [7]
(352, 99), -> [8]
(273, 114), -> [7]
(111, 257), -> [31]
(257, 339), -> [1]
(339, 271), -> [25]
(271, 116), -> [91]
(325, 277), -> [7]
(32, 345), -> [42]
(40, 261), -> [83]
(48, 54), -> [17]
(54, 315), -> [2]
(315, 72), -> [1]
(272, 110), -> [9]
(110, 101), -> [80]
(101, 120), -> [74]
(257, 70), -> [12]
(271, 108), -> [49]
(310, 262), -> [54]
(262, 40), -> [67]
(48, 56), -> [49]
(56, 41), -> [8]
(41, 257), -> [15]
(257, 101), -> [7]
(120, 112), -> [27]
(112, 108), -> [114]
(108, 291), -> [28]
(291, 268), -> [8]
(268, 99), -> [8]
(112, 257), -> [14]
(319, 105), -> [8]
(108, 349), -> [47]
(349, 34), -> [7]
(34, 76), -> [14]
(76, 346), -> [34]
(346, 256), -> [12]
(256, 83), -> [56]
(83, 116), -> [203]
(116, 291), -> [44]
(121, 34), -> [13]
(34, 32), -> [112]
(319, 34), -> [33]
(34, 89), -> [10]
(89, 321), -> [45]
(321, 32), -> [37]
(66, 101), -> [40]
(108, 264), -> [13]
(32, 277), -> [43]
(77, 101), -> [43]
(101, 34), -> [43]
(99, 347), -> [14]
(116, 268), -> [76]
(268, 104), -> [44]
(272, 352), -> [11]
(352, 109), -> [5]
(109, 97), -> [93]
(263, 339), -> [12]
(339, 320), -> [23]
(97, 109), -> [257]
(109, 32), -> [87]
(32, 102), -> [69]
(102, 97), -> [28]
(101, 259), -> [29]
(83, 112), -> [77]
(97, 107), -> [116]
(32, 78), -> [100]
(78, 111), -> [79]
(111, 119), -> [196]
(261, 49), -> [170]
(49, 48), -> [204]
(48, 41), -> [8]
(102, 312), -> [3]
(312, 268), -> [6]
(268, 114), -> [1]
(310, 257), -> [38]
(257, 119), -> [41]
(119, 104), -> [82]
(256, 82), -> [5]
(82, 268), -> [17]
(268, 40), -> [8]
(49, 50), -> [108]
(50, 41), -> [17]
(32, 101), -> [24]
(265, 109), -> [11]
(108, 342), -> [17]
(114, 264), -> [8]
(264, 340), -> [13]
(108, 293), -> [7]
(262, 319), -> [39]
(319, 102), -> [15]
(102, 101), -> [40]
(268, 282), -> [24]
(116, 344), -> [175]
(344, 102), -> [13]
(102, 105), -> [145]
(105, 114), -> [137]
(115, 266), -> [231]
(266, 66), -> [17]
(66, 343), -> [205]
(343, 98), -> [192]
(98, 111), -> [210]
(111, 271), -> [193]
(271, 258), -> [97]
(258, 72), -> [20]
(72, 111), -> [88]
(111, 266), -> [53]
(48, 48), -> [132]
(48, 32), -> [127]
(32, 110), -> [19]
(110, 353), -> [38]
